     E  8C3 6C2 6C4 3C2=(C4)2 i  6S4 8S6 3σh 6σd
A1g  1   1   1   1      1     1   1   1   1   1
A2g  1   1  -1  -1      1     1  -1   1   1  -1
Eg   2  -1   0   0      2     2   0  -1   2   0
T1g  3   0  -1   1     -1     3   1   0  -1  -1
T2g  3   0   1  -1     -1     3  -1   0  -1   1
A1u  1   1   1   1      1    -1  -1  -1  -1  -1
A2u  1   1  -1  -1      1    -1   1  -1  -1   1
Eu   2  -1   0   0      2    -2   0   1  -2   0
T1u  3   0  -1   1     -1    -3  -1   0   1   1
T2u  3   0   1  -1     -1    -3   1   0   1  -1
